	tdc		tdd			tdb		tdc	tda	tdc	tdh
61	快乐手工玩转粘土:美食派对 畅销书籍 工艺饰品 正版 9787540127664 河南美术出版社 无	河南手工艺	17.5	#	Mr.	江苏 无锡	111111	快乐手工玩转粘土:美食派对 畅销书籍 工艺饰品 正版 9787540127664 河南美术出版社 无	朵儿图书专营店	快乐手工玩转粘土:美食派对 畅销书籍 工艺饰品 正版 9787540127664 河南美术出版社 无	//detail.tmall.com/item.htm?id=44607725096&ns=1&abbucket=10
62	誉峰  河南米黄石雕喷泉纯手工雕刻园林海螺水池流水喷泉PQ-070	河南手工艺	18800	#	Mr.	河北 保定	111111	誉峰  河南米黄石雕喷泉纯手工雕刻园林海螺水池流水喷泉PQ-070	誉峰雕塑旗舰店	誉峰  河南米黄石雕喷泉纯手工雕刻园林海螺水池流水喷泉PQ-070	//detail.tmall.com/item.htm?id=520759836431&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=10
63	BY1【全店任选2本包邮】小小手工大王?儿童立体手工:走兽王国(版模切工艺)(附游戏战斗卡)/漫唐堂著/河南科学技术出版社	河南手工艺	11.3	#	Mr.	北京	111111	BY1【全店任选2本包邮】小小手工大王?儿童立体手工:走兽王国(版模切工艺)(附游戏战斗卡)/漫唐堂著/河南科学技术出版社	图客时代图书专营店	BY1【全店任选2本包邮】小小手工大王?儿童立体手工:走兽王国(版模切工艺)(附游戏战斗卡)/漫唐堂著/河南科学技术出版社	//detail.tmall.com/item.htm?id=524761896899&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=10
64	河南特产小六子潢川贡面空心贡面手工挂面散装3捆1.55斤千年工艺	河南手工艺	14.8	#	Mr.	河南 郑州	111111	河南特产小六子潢川贡面空心贡面手工挂面散装3捆1.55斤千年工艺	豫乡食品	河南特产小六子潢川贡面空心贡面手工挂面散装3捆1.55斤千年工艺	//item.taobao.com/item.htm?id=37342472626&ns=1&abbucket=10#detail
65	河南信阳特产小六子 手工挂面2500g无添加面条手工 传统工艺寿面	河南手工艺	55	#	Mr.	河南 信阳	111111	河南信阳特产小六子 手工挂面2500g无添加面条手工 传统工艺寿面	华夏美食网2015	河南信阳特产小六子 手工挂面2500g无添加面条手工 传统工艺寿面	//item.taobao.com/item.htm?id=522905210682&ns=1&abbucket=10#detail
66	绿豆粉皮精品传统工艺制作绿色无添加厂家直销绿豆浆坊手工制河南	河南手工艺	40	#	Mr.	河南 洛阳	111111	绿豆粉皮精品传统工艺制作绿色无添加厂家直销绿豆浆坊手工制河南	王能达	绿豆粉皮精品传统工艺制作绿色无添加厂家直销绿豆浆坊手工制河南	//item.taobao.com/item.htm?id=21987328449&ns=1&abbucket=10#detail
67	天猫正版    快乐手工玩转粘土：卡通王国 [3-6岁]    工艺饰品    李梅著    河南美术出版社    新华书店9787540127671	河南手工艺	15.94	#	Mr.	上海	111111	天猫正版    快乐手工玩转粘土：卡通王国 [3-6岁]    工艺饰品    李梅著    河南美术出版社    新华书店9787540127671	卓越畅想图书专营店	天猫正版    快乐手工玩转粘土：卡通王国 [3-6岁]    工艺饰品    李梅著    河南美术出版社    新华书店9787540127671	//detail.tmall.com/item.htm?id=41058999718&ns=1&abbucket=10
68	河南土特产 红薯粉条 传统工艺 手工制作 500g/包	河南手工艺	9.8	#	Mr.	河南 平顶山	111111	河南土特产 红薯粉条 传统工艺 手工制作 500g/包	平和2012	河南土特产 红薯粉条 传统工艺 手工制作 500g/包	//item.taobao.com/item.htm?id=16738452224&ns=1&abbucket=10#detail
69	河南特色烩面香辣牛肉味4包装包邮手工工艺宽面条挂面调味面食	河南手工艺	4.6	#	Mr.	河南 商丘	111111	河南特色烩面香辣牛肉味4包装包邮手工工艺宽面条挂面调味面食	zx_86369	河南特色烩面香辣牛肉味4包装包邮手工工艺宽面条挂面调味面食	//item.taobao.com/item.htm?id=524463318222&ns=1&abbucket=10#detail
70	河南省包邮照片定制定做软陶公仔人像艺术品民间特色手工艺礼品	河南手工艺	218	#	Mr.	河南 三门峡	111111	河南省包邮照片定制定做软陶公仔人像艺术品民间特色手工艺礼品	洛水飘萍	河南省包邮照片定制定做软陶公仔人像艺术品民间特色手工艺礼品	//item.taobao.com/item.htm?id=43640905347&ns=1&abbucket=10#detail
71	河南省工艺美术大师靳林琳 炉钧遂初壶 手工陶瓷壶 五大名窑 钧窑	河南手工艺	3200	#	Mr.	北京	111111	河南省工艺美术大师靳林琳 炉钧遂初壶 手工陶瓷壶 五大名窑 钧窑	北京龙圣华	河南省工艺美术大师靳林琳 炉钧遂初壶 手工陶瓷壶 五大名窑 钧窑	//item.taobao.com/item.htm?id=18423861744&ns=1&abbucket=10#detail
72	河南省工艺美术大师靳林琳 炉钧乳梨壶 手工陶瓷壶 五大名窑 钧窑	河南手工艺	3200	#	Mr.	北京	111111	河南省工艺美术大师靳林琳 炉钧乳梨壶 手工陶瓷壶 五大名窑 钧窑	北京龙圣华	河南省工艺美术大师靳林琳 炉钧乳梨壶 手工陶瓷壶 五大名窑 钧窑	//item.taobao.com/item.htm?id=25048864057&ns=1&abbucket=10#detail
73	河南羊牛肉烩面手工工艺优质挂面宽面条调味面礼盒包装特价包邮	河南手工艺	98	#	Mr.	河南 商丘	111111	河南羊牛肉烩面手工工艺优质挂面宽面条调味面礼盒包装特价包邮	zx_86369	河南羊牛肉烩面手工工艺优质挂面宽面条调味面礼盒包装特价包邮	//item.taobao.com/item.htm?id=523981602711&ns=1&abbucket=10#detail
74	BY1【全店任选2本包邮】儿童立体手工:恐龙家族(版模切工艺)(附游戏战斗卡)/漫唐堂著/河南科学技术出版社	河南手工艺	11.3	#	Mr.	北京	111111	BY1【全店任选2本包邮】儿童立体手工:恐龙家族(版模切工艺)(附游戏战斗卡)/漫唐堂著/河南科学技术出版社	图客时代图书专营店	BY1【全店任选2本包邮】儿童立体手工:恐龙家族(版模切工艺)(附游戏战斗卡)/漫唐堂著/河南科学技术出版社	//detail.tmall.com/item.htm?id=524749874294&ns=1&abbucket=10
75	"HZ 新华畅销书籍 现货 折纸宠物乐园 (日)渊本宗司 ,胡小宇  河南科学技术出版社 手工/DIY 纸艺"	河南手工艺	31.6	#	Mr.	北京	111111	"HZ 新华畅销书籍 现货 折纸宠物乐园 (日)渊本宗司 ,胡小宇  河南科学技术出版社 手工/DIY 纸艺"	众合宏达图书专营店	"HZ 新华畅销书籍 现货 折纸宠物乐园 (日)渊本宗司 ,胡小宇  河南科学技术出版社 手工/DIY 纸艺"	//detail.tmall.com/item.htm?id=524806624473&ns=1&abbucket=10
76	W正版/135款怀旧风剪纸和旋转吊饰/〔日〕宝库社著；于勇/河南科学技术出版社/手工/DIY 纸艺	河南手工艺	25.4	#	Mr.	北京	111111	W正版/135款怀旧风剪纸和旋转吊饰/〔日〕宝库社著；于勇/河南科学技术出版社/手工/DIY 纸艺	博文图书专营店	W正版/135款怀旧风剪纸和旋转吊饰/〔日〕宝库社著；于勇/河南科学技术出版社/手工/DIY 纸艺	//detail.tmall.com/item.htm?id=524786649872&ns=1&abbucket=10
77	HZ 新华畅销书籍 包邮现货 亲子互动折纸大全 〔日〕石川真理子；江景丽 河南科学技术出版社 手工/DIY 纸艺	河南手工艺	33.9	#	Mr.	北京	111111	HZ 新华畅销书籍 包邮现货 亲子互动折纸大全 〔日〕石川真理子；江景丽 河南科学技术出版社 手工/DIY 纸艺	众合宏达图书专营店	HZ 新华畅销书籍 包邮现货 亲子互动折纸大全 〔日〕石川真理子；江景丽 河南科学技术出版社 手工/DIY 纸艺	//detail.tmall.com/item.htm?id=524839256607&ns=1&abbucket=10
